1.9010	2.0156
2.1458	1.8177
2.3542	1.6927
2.6562	1.4167
2.9583	1.2240
3.3958	0.9115
3.6042	0.7552
3.9375	0.5469
4.1667	0.4583
4.5365	0.3542
4.7708	0.2500
5.0312	0.1667
5.2760	0.1146
5.4323	0.0625
5.6146	0.0938
5.8333	0.0729
6.0781	0.1667
6.3542	0.2188
6.5417	0.2917
6.7448	0.3594
7.0104	0.4792
7.2135	0.5729
7.3802	0.6719
7.7031	0.8177
7.8438	0.9115
8.1615	1.0990
8.3177	1.1667
8.5417	1.2448
8.7760	1.3177
9.0625	1.4323
9.2500	1.5208
9.4583	1.6198
9.7292	1.7760
9.8906	1.8490
