Lines	Plant_ID	Treatment (hrs)	X (uM per px)	Y (uM per px)	Z (uM per px)
MOCK_CK	P2	48	0.22	0.22	1
MOCK_CK	P2	72	0.22	0.22	1
MOCK_CK	P2	96	0.22	0.22	1
MOCK_CK	P3	48	0.22	0.22	1
MOCK_CK	P3	72	0.22	0.22	1
MOCK_CK	P3	96	0.22	0.22	1
MOCK_CK	P3	144	0.22	0.22	1
MOCK_CK	P4	48	0.22	0.22	1
MOCK_CK	P4	72	0.22	0.22	1
MOCK_CK	P4	144	0.22	0.22	1
MOCK_CK	P8	48	0.22	0.22	1
MOCK_CK	P8	72	0.22	0.22	1
